#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
electrician maintenance1001,奥比电工,"住宅及工商电器电力安装维修，电炉，热水器，电话，新旧屋装线,LIC:117704C",,,,,(02) 95887570,0403 283 287,,,electrician maintenance
electrician maintenance1002,大众电工 ,安装各种电灯，插座，电话，网线，空调，警报，对讲门控，电表等， Lic: 145471C,,,,,,0414 932 718,,,electrician maintenance
electrician maintenance1003,电工服务(Electrician) ,"悉尼电工服务，本人从事电工服务十余年，有丰富的电工经验。 服务范围包括： ADSL2网络电话线安装移位，电视天线，电视挂墙，闭路电视监控工程, 室内照明电灯，电表箱安全空气开关升级改造，入墙电源插座，烤箱，电磁灶，烟雾探测器，天花吊顶电扇等安装维修，房屋装修重新布线等。 收费方式: CASH, $50/hour，如果需要INVOICE，$65/hour。 单次call out 收费最少Charge $100。 如果需要在工作前去实地查看报价, 费用为$50/次。 如果你自己购买材料，只需要支付人工费用；如果你没有材料，可以按照市场价格支付我提供的材料费用。 欢迎来电咨询： Adrian : 0433 388 688 Navy88168@gmail.com 悉尼华人超市,小店,闭路电视监控系统专业安装,电工服务 悉尼专业销售安装CCTV闭路电视视频监控设备，为您量身定做商业/家庭数码监控系统，可I-Phone手机远程查看，您的生意都掌控在你手中，所有录像资料备份一个月以上，兼做HIKVISION海康网络硬盘录像机批发，质优价廉！ A. 4个专业安防摄像头+ 4 路网络硬盘录像机+500G HDD $1800 B. 6个专业安防摄像头+ 8 路网络硬盘录像机+1TB HDD $2800 C. 8个专业安防摄像头+ 8 路网络硬盘录像机+1TB HDD $3000 D. 12个专业安防摄像头+16 路网络硬盘录像机+2TB HDD $3800 E. 16个专业安防摄像头+16 路网络硬盘录像机+2TB HDD $4300 批发各类监控摄像头，4，8，16路网络硬盘录像机，VIVOTEK IP网络摄像头! 欢迎来电咨询： Adrian : 0433 388 688 Navy88168@gmail.com",,,,,,0433 388 688,Adrian,,electrician maintenance
electrician maintenance1004,家电, ,,,,,02 9631 3781,,,,electrician maintenance
electrician maintenance1005,精鑫电工,"擅长工，商，民电器工程，安装维修，安全跳闸，电炉，电箱，分表，电灯，插座，热水器，换线路等。
多年经验，LIC:72094C",,,,,,,,,electrician maintenance
electrician maintenance1006,净光电工,"持有电工牌照（Lic: 230752C), 安装维修工,商,民用电力通讯工程，电脑网络，电话,灯,插座,电表箱,电器设备等. 请电: 0434196263 (02)95884460",,,,,(02)9588 4460,0434 196 263,,,electrician maintenance
electrician maintenance1007,电器维修,"专业技术，上门 维修，家庭，商业冰箱，雪橇，空调，洗衣机， Lic :88766C, 电：（02）96432357",,,,,(02)9643 2357,,,,electrician maintenance
electrician maintenance1008 Turramurra Electrical,Turramurra Electrical,"工商民用住宅, 电力安裝维修, 电话,网络, 自动防火系统, 经验丰富, 质优价平. 免费估价. license 241633c 手机：0433084765",,,,turramurra.electrical@gmail.com,,0433 084 765,Jack,,electrician maintenance
electrician maintenance1009,一级电工,"维修工商，住宅电力,专业安装及新旧屋布线，电箱，LED, RCD,插座，开关，CCTV，网线，电话，警报。友善诚信，经验丰富，保险，免费估价。Lic:257535c, Lic:S28480.",,,,acelectric@hotmail.com.au,,0410 194 138,Mike,,electrician maintenance
electrician maintenance1010,Tom电工 ,"工业,商业,住宅,电力工程,价格合理,特快三相接电,请电:0414746363  or 87565638. ",,,,,(02) 8756 5638,0414 746 363,,,electrician maintenance
