#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Paint1,油漆公司,,Sydney,,,,,0414 661 388,,,Paint
Paint2,油漆工程 ,,Sydney,,,,02 9747 0238,,,,Paint
Paint3 Natural Painting Sydney ,Natural Painting Sydney ,"Best Painter for your projects, we have decorator painter licence. Discount price for builder sub-contract. http://www.naturalpainting.com.au",Sydney,,,sales@naturalpainting.com.au,,0414 878 917,,,Paint
Paint4,天天油漆,多年油漆师傅，手工好，价低，接室内外工程，Lic:131758C， 免费估价，（02）97186918,Sydney,,,,02 9718 6918,0434 285 605,,,Paint
Paint5,鼎泰油漆,专业价廉承接各种油漆工程，艺术手绘墙，免费报价，七年保修，Lic: 244082C。,Sydney,,,,,0425 397 439,,,Paint
Paint6,可靠油漆,Depend able painting 承接油漆工程，质量保证，价格合理，免费估价。LIC: 131070C ,Sydney,,,,02 97257898,0409 013 168,,,Paint
Paint7 W,W油漆,专业施工，顶级技术，持牌团队，使用名牌及环保油漆，是年质保。精刷细补。 悉尼全境最专业华人油漆服务，中文网站：archerthepainter.wordpress.com 英文网站：www.archerthepainter.com.au Lic: 218643C ,Sydney,,,dorothyhome@hotmail.com,,0431 648 023,Peter Wang,,Paint
Paint8,专业油漆,,Sydney,,,,02 9637 0208,,,,Paint
Paint9,精细油漆,,Sydney,,,,02 9799 9848,,,,Paint
Paint10,专业油漆 ,多年经验油漆，卫生间，厨房，做工精细，保您满意。,Sydney,,,,,0452 432 808,,,Paint
Paint11,永新油漆,专业油漆，承接室内外大小工程，价格合理，保证质量，免费报价。Lic : 243544C,Sydney,,,,,0425 550 728,,,Paint
Paint12,油漆公司,专业澳洲经营承接大小工厂油漆，价格合理，保质量，免费上门估价， Lic:231917C,Sydney,,,,,0434 091 226,,,Paint
Paint13,光明油漆,,Sydney,,,,02 9585 0680,,,,Paint
Paint14,油漆 ,,Sydney,,,,,0466 417 806,,,Paint
Paint15,碧城油漆,承接各种室内外油漆工程，质优价廉，免费上门估价， Lic : 157928C (02)95919300,Sydney,,,,,0402 964 868,,,Paint
Paint16,景康油漆,,Sydney,,,,,0405 139 881,,,Paint
Paint17,油漆师傅,专业师傅地板打磨，抛光，翻新，接室内外大小油漆工程，价廉，质优，Lic:58916C,Sydney,,,,,0412 603 436,,,Paint
Paint18,Nick油漆,近二十年的油漆经验，擅长处理各种霉斑、裂缝， 工精价廉。质量绝对是华人中的 NO.1,Sydney,,,,,0405 666 897,,,Paint
Paint19,碧城油漆,,Sydney,,,,02 9580 3072,,,,Paint
