#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
plumbing gas1001,水喉煤气,,,,,,,0431 286 228,,,plumbing gas
plumbing gas1002,水渠疏通,专业高压水枪，机械疏通，不通不收费，修换水喉，水管，焊接等，价平， Lic:37418C,,,,,,0414 437 749,,,plumbing gas
plumbing gas1003,水喉专家 ,老师傅，维修，更换水龙头，水管，厕所水箱，半年保修。,,,,,,0426 933 713,,,plumbing gas
plumbing gas1004,BATTAGLIA PLUMBING SERVICE P/L,,,,,,(02)9798 7443,,,,plumbing gas
plumbing gas1005,C.C. PARKER PLUMBING,,"37 STANLEY RD, EPPING NSW 2121",,,,(02)9869 0065,,,,plumbing gas
plumbing gas1006,水修急修 防水防漏,精工修换水喉，水龙头，水管，厕所，水箱，电热水炉，铺排水煤各类管道，浴室翻新工程，内外防水处理，有证书，用Australian Standard配件，质量保证，半年保养，有保险,,,,,,0426 903 722,,,plumbing gas
plumbing gas1007,LAKE & WORLEY P/L ,,"161 ELDRIDGE RD, BANKSTOWN NSW 2200",,,,(02)9709 2666,,,,plumbing gas
plumbing gas1008,JONES & JONES MASTER PLUMBERS ,,"22 PUNCH ST, ARTARMON NSW 2064",,,,(02)9439 6500,,,,plumbing gas
plumbing gas1009,NORTON & ROSS P/L ,,"2 PATTON LA, WILLOUGHBY NSW 2068",,,,(02)9958 3726,,,,plumbing gas
plumbing gas1010,水务.通渠 ,,,,,,02 9802 5088,,,,plumbing gas
plumbing gas1011,BANKSTOWN PLUMBING SERVICES ,,"PO BOX 71, MILPERRA NSW 2214",,,,(02)9774 1315,,,,plumbing gas
plumbing gas1012,D.R. KING PLUMBING SERVICES ,,"42 HALLORAN ST, LEICHHARDT NSW 2040",,,,(02)9555 2000,,,,plumbing gas
plumbing gas1013,BERTRAM & SON P/L ,,"92-96 PERCIVAL RD, STANMORE NSW 2048",,,,(02)9569 7444,,,,plumbing gas
plumbing gas1014,水晶防水,,Sydney,,,,,0433 568 681,,,plumbing gas
plumbing gas1015,煤气热水,专业安装煤气工程，水渠水管，浴厕盆，水喉漏水，急修各类煤气，电，热水器 LIC: 212633C,,,,,(02) 95916906,0414 682 278,,,plumbing gas
plumbing gas1016,水道通渠,,,,,,(02) 9643 1628,,,,plumbing gas
plumbing gas1017,CUMBERLAND PLUMBING ,,"PO BOX 2052, NORTH PARRAMATTA NSW 2151",,,,(02)9636 6326,,,,plumbing gas
plumbing gas1018,KILLARA PLUMBING,,"50 VICTORIA AVE, CHATSWOOD NSW 2067",,,,(02)9417 3222,,,,plumbing gas
plumbing gas1019,通渠 水务,专业诚信，价格公道.安装及维修 水管，煤气及热水器 LIC:158566C,,,,,(02) 9877 0441 ,0404 168 161,,,plumbing gas
plumbing gas1020,JOHN NEALE P/L,,"537 ELIZABETH ST, SURRY HILLS NSW 2010",,,,(02)9698 2366,,,,plumbing gas
plumbing gas1021,水务通渠,机械、高压水枪通渠，不通不收费。,,,,,,0425 379 473,,,plumbing gas
plumbing gas1022,悉尼水务煤气公司,悉尼正规水管，煤气公司，专业安装水管，天然气管，液化气罐，下水渠，雨水槽，热水器，水表，马桶，炉灶，7天营业!免费报价! ,,,,,,0450 963 633,,,plumbing gas
plumbing gas1023,水道通渠,水枪，机械，塞即通，十多年经验，专业排污管道，不通不收费，价格便宜，出租机械，LIC: 99230,,,,,(02) 9643 1628 ,0404 878 928,,,plumbing gas
plumbing gas1024,JBS PLUMBING SERVICES ,,"2/6 KING ST, ASHFIELD NSW 2131",,,,(02)9799 9952,,,,plumbing gas
plumbing gas1025,水修急修 防水防漏 ,,,,,,,,,,plumbing gas
plumbing gas1026,水工煤气专业安装维修,专业安装维修上下水、煤气、LPG管道、热水器和暖炉等，卫浴厨房翻新加建新建，诚信经验师傅，金牌265545C。悉尼各区，免费提供解决方案，请电Jason 0405 567 777,,,,,, 0405 567 777,Jason,,plumbing gas
plumbing gas1027,QUANTUM ENERGY TECHNOLOGIES P/L ,,"UNIT 1A, 207-209 YOUNG ST, WATERLOO NSW 2017",,,,(02)9699 7444,,,,plumbing gas
plumbing gas1028,A.W. EDWARDS P/L ,,"26 POWERS RD, SEVEN HILLS NSW 2147",,,,(02)9624 5566,,,,plumbing gas
