#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Renovation building1001,华昌维修,,Sydney,,,,,0421 190 633,,,Renovated Building
Renovation building1002,店铺装修,Westfield 顶级装修工厂，专装大型购物商场，新老店翻新， Lic:154438C 。 （02）9838 7785,Sydney,,,,（02）9838 7785,0405 380 186,,,Renovated Building
Renovation building1003,永顺装修,,Sydney,,,,02 9740 7331,,,,Renovated Building
Renovation building1004,艺高装修,,Sydney,,,,,0424 070 482,,,Renovated Building
Renovation building1005,专业建筑,承建新屋及旧屋加建翻新，装修，设计报建服务，保险齐，质保价惠，Lic:229732C,Sydney,,,,,0423 004 648,,,Renovated Building
Renovation building1006,Better Homes 装修,承接商店，办公室，咖啡厅，商住厨房，浴室等成套设计装修。下设橱柜工厂订做各式高档橱柜，专业安装水电煤，瓷砖，台面地板打磨等。 Lic：182219C， 223230C 。 （02）9858 5118,Sydney,,,,（02）9858 5118,0430 158 808,,,Renovated Building
Renovation building1007,海晨装修质优价廉,"澳洲17年装修经验，，承接住宅，店铺，办公室大小装修工程。浴室翻新，车库改住房，Gyprock,油漆，木工，瓷砖，水电，加建等。5年保修，免费估价。Lic:625146C (02)8604 7106",Sydney,,,,(02) 8604 7106,0405 456 788,,,Renovated Building
Renovation building1008,宗新装修维修公司,"承接house,unit或者商铺维修，装修 瓷砖，地板，Gyprock，水泥，油漆，凉棚，橱柜，入墙柜、车库改造等等。。。(室内外装修） 总的一句话房子里面什么都可以做 在澳大利亚有十多年的房屋装修经验 免费估价 多年保修Lic NO.:261545c 联系电话：0412349006",Sydney,,,justin_ming@foxmail.com,,0412 349 006,,,Renovated Building
Renovation building1009,专业水泥抹灰,专业水泥抹灰 保温板 篮板 抹灰Professional cement plaster 10年 澳洲抹灰经验 价格合理 质量保证,Sydney,,,,,0432 919 910,,,Renovated Building
Renovation building1010,维修.安装,,Sydney,,,,,0413 141 715,,,Renovated Building
Renovation building1012,精工装修,,Sydney,,,,,0433 988 936,,,Renovated Building
Renovation building1013,专业装修 ,,Sydney,,,,,0433 694 320,,,Renovated Building
Renovation building1014 Roofshield ,Roofshield ,富有20年翻新、更新、更换gutter经验,Sydney,,,,,0405 129 186,杜先生,,Renovated Building
Renovation building1015,龙匠装修,,Sydney,,,,02 9798 8583,,,,Renovated Building
Renovation building1016,物业改建加建报建及建筑图積审批,"经验建筑审批机构审核你的报建 (Complying Development) 和建筑 C.C 图積, 5天エ作曰内稳批及价格宜, 泳池$1,100起.<br/> Contact: Ken (02)9744 8889; 0416 287434 Jen Certifiers Pty Ltd ABN 38142771346 Home Owner<br/> 网站: http://www.fairtrading.nsw.gov.au/Tenants_and_home_owners/Home_building_and_renovating.html",Sydney,"shop 2 448 Parramatta Rd, Strathfield 2135",,jencertificers@gmail.com,,0416 287 434,,,Renovated Building
Renovation building1017,精工维修,,Sydney,,,,,0424 154 936,,,Renovated Building
Renovation building1018,摩登装修,专业设计，翻新浴室，厨柜，店铺，办公室，加建，木工，油漆，各项大小工程，免费估价，质量保证。在南区 Camprise 。Lic: 65358C 。 ,Sydney,,,,（02）89710899 ,0423 346 790,,,Renovated Building
Renovation building1019 Rolling Studio,Rolling Studio,"提供悉尼室内建筑，设计，翻新。多年设计，建筑经验，包括住宅，店铺，商场，office, 西人设计团队",Sydney,,,teddypass@gmail.com,Ted,0411 873 370,,,Renovated Building
Renovation building1020,小潘装修,,Sydney,,,,,0432 733 850,,,Renovated Building
Renovation building1021,帝佳维修,,Sydney,,,,,0402 434 280,,,Renovated Building
Renovation building1022,Sydney Renovation Team,"悉尼装修队负责房屋租赁截止或者预售物业的专业装修及维修。我们所有的团队成员拥有资格认证并投保。我们提供快速，优质的作品。根据您的预算和想法可以为您提供非常新颖独到的设计.<br/>Home improvement quotes<br/>home renovation sydney<br/>house renovation sydney<br/>kitchen renovation sydney<br/>renovation builders sydney<br/>renovation costs sydney<br/>renovation sydney<br/>sydney bathroom renovation<br/>sydney home renovation<br/>网站http://www.sydneyrenovationteam.com.au",Sydney,,,,,0433 883 339,,,Renovated Building
Renovation building1023 GUANG TONG SPECIAL STEEL,GUANG TONG SPECIAL STEEL, 批发各种不锈钢丝，不锈钢网及特殊钢材,Sydney,,,,,0430 100 808,,,Renovated Building
Renovation building1024,海晨装修质优价廉,"澳洲17年装修经验，，承接住宅，店铺，办公室大小装修工程。浴室翻新，车库改住房，Gyprock,油漆，木工，瓷砖，水电，加建等。5年保修，免费估价。Lic:625146C (02)8604 7106",Sydney,,,,,0405 456 788,,,Renovated Building
Renovation building1025,专业订做淋浴房,"澳洲多年经验，专业安订做各种淋浴，用料考究，做工精细，价格好，无需订金，做完满意付款，电谢先生： 0412748150 （02）80146293 Fax 5 Percy St, Auburn",Sydney,"5 Percy St, Auburn",,,,0412 748 150,谢先生,,Renovated Building
Renovation building1026,国泰建筑,,Sydney,,,,,0411 145 131,,,Renovated Building
Renovation building1027,家居维修 ,多年经验，木工门窗，浴室翻新，水喉马桶，安装洗手盆，排油烟机，油漆。,Sydney,,,,,0413 751 731,,,Renovated Building
Renovation building1028 Pony decoration ,小马装修Pony decoration ,"精修: . 装地板 . 钉板 . 油漆 多年经验, 价钱实惠. 包满意! 优惠builder",Sydney,,,,,0433 292 898,小马,,Renovated Building
Renovation building1029,美家装修,多年经验，承接厨房浴室，翻新木工水工凉棚油漆，瓷砖，免费估价， Lic: 232178C,Sydney,,,,,0422 282 005,,,Renovated Building
Renovation building1030,装修工程,,Sydney,,,,02 9771 0938,,,,Renovated Building
