#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Satellite TV1001,"多星多机,高清卫视",一锅多星多机无干扰互看，无马达转星的潜在故障和无法多星同时收看的缺陷。换星如换台，澳洲通讯持牌技师，十多年经验，完善的售后服务及维护升级。电：0422 576 417,,,,,,0422 576 417,,,Satellite TV
Satellite TV1002,安装电视天线,专业安装卫视，维修室外电视天线，增加电视插座，保用3年。,,,,,(02) 9592 6991,0410 539 258,,,Satellite TV
Satellite TV1003,专业卫视公司,老牌专业卫视公司，多星3百多台，7天24小时上门服务，提供维修升级服务，排除一切收视故障， Unit 也能看卫视，另装TV数码天线。,Address:28 Pitt St Mortdale NSW 2223,,,,(02) 9586 2598,0421 034 993,,,Satellite TV
Satellite TV1004,华星卫视 高清时代," IPTV，卫星当地天线批发，安装。近 30 年经验，央视，北京，东方，湖南，凤凰，TVB8, 台湾等，高清主机 $650 起，Mediastar.com.au Ingleburn 工业区",,,,,(02) 9618 5777,0413 968 259,,,Satellite TV
Satellite TV1005,华宇卫视,专业安装卫视 1.2m－2.3m 卫星天线，及TV数码天线，监控系统。特惠西南区。,,,,,,0434 195 798,,,Satellite TV
Satellite TV1006,东北卫视,专业安装1.3 － 2.3 米卫视天线，适合阳台收看中港台近200台节目，保二年，另装修灯插座。,,,,,,0415 059 569,,,Satellite TV
Satellite TV1007,电视数字天线,专业安装电视天线，政府认可，五年保修，另安装电话，电视监控，报警，价格优惠。,,,,,,0416 032 586,,,Satellite TV
Satellite TV1008,唐人卫视,专业安装自动多星，固定单星，180免费卫视频道，服务项目。排除卫星接收故障，解除电波干扰，更换设备，移装－换星，增台改装，安装红外线（有线，无线）隔墙遥控。,,,,,(02) 9724 9049,0402 730 018,,,Satellite TV
Satellite TV1009,免费中文电视,"最新网路电视机顶盒，中日韩港上百个电视台，无月费！ 全澳免费邮寄两个机型 $199 和 $399,有意请电：0410 651 629",,,,,(02) 9987 1591,0410 651 629,罗先生,,Satellite TV
Satellite TV1010,亰澳卫视,"大陆 $600, 双星 100 台 $750, 转向 200 台 $750.",22 Somerset St Hurstville NSW 2220,,,,(02) 9570 9719,0414 556 272,,,Satellite TV
Satellite TV1011,视通卫视工程,老牌专业公司，精选名厂设备，持牌电工亲自安装，提供 1.2m 至 2.3m 各种规格天线安装，移装，维修，$500 起，一年免费质保，另装Local数码天线。Lic：237860C,,,,,(02) 9787 8593,0432 826 098,,,Satellite TV
Satellite TV1012,中星卫视,"专业技师多年安装经验，1.2米定向天线（合Unit) $500。 2.3 米定向自动多星天线 $800,收中港台澳欧美节目。移装各类（大小碟）天线，TV天线。排除各类卫星接收故障，一年质保。",,,,,(02) 8084 7528,0434 286 543,,,Satellite TV
Satellite TV1013,中文电视,直播点播回放，无月费，$310起， 澳华宽屏电视。,227 Beamish St Campsie NSW 2194,,,,(02) 8004 5009,,,,Satellite TV
Satellite TV1014,中文卫星电视安装,专业技师，低价高质量安装中文卫星电视天线，单星450起，多星680起，尽收中，港，澳，台，韩，日，欧美高清卫视，另装本地Local电视天线，一年免费质保。,,,,,,0450 242 156,,,Satellite TV
Satellite TV1015,A.A.A. 星空卫视,"专业技师，选材优良，转动多星 1.8/2.3 米（$800）, 固定单星 1.35/1.5/1.6 米（$500起）和本地数码天线。移装，维修各类天线（含TAB）工精价廉，一年质包。",,,,,(02) 9872 2530,0405 096 928, 林生,,Satellite TV
Satellite TV1016,数字天线 ,专业安装本地电视天线，五年保修，另安装闭路电视，电话，网线等。LIC: A011261 ,,,,,,0416 032 586,,,Satellite TV
Satellite TV1017,网络电视 , 专业安装网络机顶盒， 上门服务，可收中央各台和各地方卫视，海量电影音乐。,,,,,,0431 753 002,,,Satellite TV
