#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Cleaning Company1001 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,The Avenue Kingsgrove NSW 2208,,,,(02) 9150 6822,,,,Cleaning Company
Cleaning Company1002 THOMAS CARPET CLEANING ,信佳清潔 THOMAS CARPET CLEANING ,,"7/178 OBERON ST, COOGEE NSW 2034",,,,(02)9662 1780,,,,Cleaning Company
Cleaning Company1003,日月清洁,,Sydney,,,,(02) 9702 2018,,,,Cleaning Company
Cleaning Company1004,$20清洁,,Sydney,,,,(02) 9181 3728,,,,Cleaning Company
Cleaning Company1005 Drummoyne R.S.L. Memorial & Community Club ,Drummoyne R.S.L. Memorial & Community Club ,,82 Mona Vale Rd Mona Vale NSW 2103,,,,(02) 9997 3833,,,,Cleaning Company
Cleaning Company1006 Shi Hui,Shi Hui 实惠清洁,,Sydney,,,,(02) 9718 6718,,,,Cleaning Company
Cleaning Company1007,Padstow RSL Club ,,24 Howard Rd Padstow NSW 2211,,,,(02) 9773 0528,,,,Cleaning Company
Cleaning Company1008 MUTUAL HAPPINESS CLEANING SERVICES ,雙喜清潔 MUTUAL HAPPINESS CLEANING SERVICES ,,"PO BOX A1368, SYDNEY SOUTH NSW 2235",,,,(02)9897 3688,,,,Cleaning Company
Cleaning Company1009,$39清洁 ,,Sydney,,,,02 9715 1158,,,,Cleaning Company
Cleaning Company1010 Mosman R.S.L Sub Branch,Mosman R.S.L Sub Branch ,,719 Military Rd Mosman NSW 2088,,,,(02) 9969 7255,,,,Cleaning Company
Cleaning Company1011,NO.1清洗 ,,Sydney,,,,02 9758 1993,,,,Cleaning Company
Cleaning Company1012 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,23 Letitia St Oatley NSW 2223,,,,(02) 9580 2002,,,,Cleaning Company
Cleaning Company1013,$30清洁 ,强力高压蒸洗地毯$30起，中介标准进出清洁，专业人员精工细做，保退租。,,,,,,0431 616 166,,,Cleaning Company
Cleaning Company1014 Granville RSL Sub-Branch Club Ltd ,Granville RSL Sub-Branch Club Ltd ,,Memorial Drv Granville NSW 2142,,,,(02) 9637 7888,,,,Cleaning Company
Cleaning Company1015 Returned Services League Of Aust (NSW Brch) ,Returned Services League Of Aust (NSW Brch) ,,1058 Pittwater Rd Collaroy NSW 2097,,,,(02) 9971 5355,,,,Cleaning Company
Cleaning Company1016,Agent清洁,,Sydney,,,,,0412 033 086,,,Cleaning Company
Cleaning Company1017,$15清洁,,Sydney,,,,,0403 123 889,,,Cleaning Company
Cleaning Company1018 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,Cnr Chester Hill Rd & Proctor Pde Chester Hill NSW 2162,,,,(02) 9644 7922,,,,Cleaning Company
Cleaning Company1019,Rose Bay R.S.L. Club ,,Cnr New South Head Rd & Vickery Ave Rose Bay NSW 2029,,,,(02) 9371 9412,,,,Cleaning Company
Cleaning Company1020 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,Bay St Rockdale NSW 2216,,,,(02) 9567 2720,,,,Cleaning Company
Cleaning Company1021 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (NSW Brch) ,,14 Anzac Ave Fairfield NSW 2165,,,,(02) 9727 5000,,,,Cleaning Company
Cleaning Company1022,$25清洁,,Sydney,,,,02 9787 9717,,,,Cleaning Company
Cleaning Company1023,007清洁 ,入住/定期/退租清洁，强力蒸洗地毯，专业团队，中介标准，优惠同胞。,Sydney,,,,,0406 087 988,,,Cleaning Company
Cleaning Company1024 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,Gerrale St Cronulla NSW 2230,,,,(02) 9523 6833,,,,Cleaning Company
Cleaning Company1025,天天清洁 ,,Sydney,,,,02 9646 2698,,,,Cleaning Company
Cleaning Company1026 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,162 Victoria Rd Drummoyne NSW 2047,,,,(02) 9181 2719,,,,Cleaning Company
Cleaning Company1027 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,58a Penshurst St Penshurst NSW 2222,,,,(02) 9580 3749,,,,Cleaning Company
Cleaning Company1028,光明清洁,专业蒸洗地毯，退租清洁，(住家、办公室、商业），经验，价合理，诚信为你服务。 ,,,,,(02)97456047,0414 201 999,,,Cleaning Company
Cleaning Company1029 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (N.S.W. Brch) ,,254 Railway Pde Kogarah NSW 2217,,,,(02) 9587 8533,,,,Cleaning Company
Cleaning Company1030,家庭清洁 ,办公室居民楼家庭日常清洁，居民楼定期割草，信誉可靠。 ,Sydney,,,,(02)9649 3383,0412 650 250,,,Cleaning Company
Cleaning Company1031,Raaf Association Canterbury-Bankstown Branch Inc. ,,45 Stanley St Bankstown NSW 2200,,,,(02) 9791 9825,,,,Cleaning Company
Cleaning Company1032 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (NSW Brch) ,,1087 Barrenjoey Rd Palm Beach NSW 2108,,,,(02) 9974 5566,,,,Cleaning Company
Cleaning Company1033 Returned Services League Of Aust (N.S.W. Brch) ,Returned Services League Of Aust (NSW Brch) ,,932 Pittwater Rd Dee Why NSW 2099,,,,(02) 9981 1011,,,,Cleaning Company
Cleaning Company1034 Returned Services League Of Aust (N.S.W. Brch) , Returned Services League Of Aust (N.S.W. Brch) ,,23 Letitia St Oatley NSW 2223,,,,(02) 9580 2002,,,,Cleaning Company
