#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Furniture Store1001 LAWS AUCTIONS ,LAWS AUCTIONS ,,"KELLAWAY PLACE, WETHERILL PARK, WETHERILL PARK NSW 2164",,,,(02)9604 0588,,,,Furniture Store
Furniture Store1002,家具直销,网上家具 www.anytrading.com.au 工厂直销，可特别订做费用低廉， 颜色任选. 全新queen size实木床架$269（商店零售价$425)， 35毫米厚床板 结实耐用. 工具在线： www.anytools.com.au,,,,sales@anytrading.com.au,,0415 077 946,John,,Furniture Store
Furniture Store1003 JUST IN TIME FURNITURE P/L,JUST IN TIME FURNITURE P/L,,"34 BELMORE RD, PUNCHBOWL NSW 2196",,,,(02)9584 1760,,,,Furniture Store
Furniture Store1004 BABY PARADISE,嬰兒天地 BABY PARADISE,,"242 MARRICKVILLE RD, MARRICKVILLE NSW 2204",,,,(02)9572 6393,,,,Furniture Store
Furniture Store1005 ARTHUR T. ELLEY & SONS P/L ,ARTHUR T. ELLEY & SONS P/L ,,"74-76 BRONTE RD, BONDI JUNCTION NSW 2022",,,,(02)9389 3689,,,,Furniture Store
Furniture Store1006 LIFE DECOR GROUP PTY. LTD,LIFE DECOR GROUP PTY. LTD,,"245 ROWE ST, EASTWOOD NSW 2122",,,,(02)9858 5453,,,,Furniture Store
Furniture Store1007 P.H. KITCHEN & FURNITURE,寶豪櫥柜廠 P.H. KITCHEN & FURNITURE,,"6 ROSE CRES, REGENTS PARK NSW 2143",,,,(02)9743 8688,,,,Furniture Store
Furniture Store1008 C & Y COUNTRY STYLE FURNITURE,C & Y COUNTRY STYLE FURNITURE ,,"120 CAHORS RD, PADSTOW NSW 2211",,,,(02)9792 4781,,,,Furniture Store
Furniture Store1009 SAC FURNITURE (JOINERY) P/L ,SAC FURNITURE (JOINERY) P/L ,,"2 FISHER ST, SILVERWATER NSW 2128",,,,(02)9737 9025,,,,Furniture Store
Furniture Store1010 ARTISTIC - POPULAR FURNITURE KITCHEN ,美藝家具櫥柜有限公司 ARTISTIC - POPULAR FURNITURE KITCHEN ,,"10 RAGLAN RD, AUBURN NSW 2144",,,,(02)9644 3054,,,,Furniture Store
Furniture Store1011,金富傢俱店,,"42-44 PARRAMATTA RD, STANMORE NSW 2048",,,,(02)9565 1275,,,,Furniture Store
Furniture Store1012 JA STYLE FURNITURE ,JA STYLE FURNITURE ,,"SHOP 1, 165-169 HALDON ST, LAKEMBA NSW 2195",,,,(02)9740 7528,,,,Furniture Store
Furniture Store1013 AIRLAND AUSTRALIA ,AIRLAND AUSTRALIA ,,"225 ROWE ST, EASTWOOD NSW 2122",,,,(02)9874 4379,,,,Furniture Store
Furniture Store1014 HYSEND INDUSTRAL COMPANY (AUST) P/L ,海山家具 HYSEND INDUSTRAL COMPANY (AUST) P/L ,,"31 HUGH ST, BELMORE NSW 2192",,,,(02)9758 9899,,,,Furniture Store
Furniture Store1015 DAVID LU FURNITURE ,明興傢俬 DAVID LU FURNITURE ,,"2ND FL, 24-32 HUGHES ST, CABRAMATTA NSW 2166",,,,(02)9728 3388,,,,Furniture Store
Furniture Store1016 BUILT-IN ELEGANT,BUILT-IN ELEGANT,,"31 PATRICK ST, WILLOUGHBY NSW 2068",,,,(02)9417 5266,,,,Furniture Store
