#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Gyprock1001,悉尼Gyprock---专业师傅亲自作业保质,"十多年专业经验，专业师傅亲自作业保质，承接各种大小工程，修墙裂缝，补洞小活，厕所翻新，免费估价，质优价公，诚信可靠。电：Ryan, 0478817717",Sydney,,,,,0478 817 717,,,Gyprock Interval House
Gyprock1002,Gyprock,专业Gyprock成绩大小工程，订板抹灰，做铁，价格合理，免费估价。,Sydney,,,,,0459 777 988,,,Gyprock Interval House
Gyprock1003,Gyprock,承接各种大小工程，修墙补洞，间隔，吊顶，翻新，免费估价，质优价廉。 （02）8547 0928,Sydney,,,,（02）8547 0928,0431 929 099,,,Gyprock Interval House
Gyprock1004,Gyprock,二十年专业Gyprock，承接各种大小工程，免费估价，保证质量， Lic: 168853C,Sydney,,,,,0470 040 103,,,Gyprock Interval House
Gyprock1005,大力装修,专业翻新浴室，维修上下水，专业做Gyprock和油漆，承接大小工程， Lic:144323C,Sydney,,,,,0433 694 320,,,Gyprock Interval House
Gyprock1006,Gyprock,"专业Gyprock，经验作铁，订板，抹灰，Cornices,价平周到，立即开工。 Lic ：184394C",Sydney,,,,,0432 022 358,,,Gyprock Interval House
Gyprock1007,Gyprock,十多年专业经验，承接商住，特难杂工程，免费估价，质优价公，诚信可靠， 186652C,Sydney,,,,,0451 888 972,,,Gyprock Interval House
Gyprock1008,房屋隔间,专业房屋隔间车库改建浴室翻新室内外油漆 Lic231365C 。（02）97020084,Sydney,,,,（02）9702 0084,0432 352 082,,,Gyprock Interval House
Gyprock1009,室内间格,专业工商住，隔墙封顶，装换门窗，墙面换新，洞缝修补，大小不拘，Lic79268C (02)97264170,Sydney,,,,(02)9726 4170,0421 906 652,,,Gyprock Interval House
Gyprock1010,专业木工,搭房屋木架，间房，搭棚，装门换锁，楼梯，浴室翻新， Lic：228981C,Sydney,,,,,0403 463 447,,,Gyprock Interval House
Gyprock1011,家美维修,十多年澳洲装修经验， 精工做 GYPROCK 间隔，加建，扩建室内外工程。门窗更换，维修。浴室翻新。免费报价。HILLS DISTRICT。电: 0410 711 518； 0452 598 668,Sydney,,,shirlshguo@gmail.com,,0452 598 668,,,Gyprock Interval House
Gyprock1012,六合维修,"室内外装修工程,浴室翻新,浴室重建,室内外油漆,地板,间格,安装淋浴间玻璃门,洗手盆,马桶,浴霸等配套设施及水,木,电等各种装修工程.安全可靠,保证质量.",Bankstown,,,aketong@sina.cn,,0406 689 608,Peter,,Gyprock Interval House
Gyprock1013,家乐维修,承接家庭办公室各种隔间吊顶油漆修墙补洞。专业Gyprock,Sydney,,,,,0430 093 582,,,Gyprock Interval House
Gyprock1014,出租改造,专业设计改造出租用房，车库变套间，帮你合理安排空间，提高收入，减轻供房压力。,Sydney,,,,,0415 309 816,,,Gyprock Interval House
Gyprock1015,宝兴维修,承接室内外住屋店铺，工厂等装修，加造改建Gyprock 油漆，瓷砖，浴室。,Sydney,,,,,0411 960 952,,,Gyprock Interval House
Gyprock1016,悉尼专业石膏板工, Steve : 0415886532 公司网址内含部分工程图片和公司资料 ：http://brightstarinteriorlining.webs.com/,Sydney,,,,,0415 886 532,,,Gyprock Interval House
Gyprock1017,明星维修,瓷砖间格修墙补洞修换马桶水喉漏水洗手盆，门窗车库浴室。,Sydney,,,,,0410 502 953,,,Gyprock Interval House
Gyprock1018,华丽装修," 屋铺Gyprock, 间隔油漆围墙地板瓷砖，精工细做，优质价廉诚信。Lic : 236244C",Sydney,,,,,0404 210 639,,,Gyprock Interval House
Gyprock1019,质量维修,Gyprock隔墙， 木工，门窗，漏水，泥水，油漆，水电，车库，翻新浴室等，国语。 （02）9789 5889,Sydney,,,,（02）9789 5889,0434 383 133,,,Gyprock Interval House
Gyprock1020,建房公司,"195089C Builder专业建筑公司。豪宅、新房， Granny Flat, 加层改建及附属工程等。质量上乘，服务卓越，价格合理。 0424071848 peterpanconstruction@hotmail.com",Sydney,,,peterpanconstruction@hotmail.com,,0424 071 848,,,Gyprock Interval House
Gyprock1021,Gyprock,"十余年专业做豪宅经验，质量优异，价格公道，免费估价。
LIC: 227592C",Sydney,,,,,0402 395 539,,,Gyprock Interval House
