#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Interior Design1001,建筑杂活,,Sydney,,,,02 9724 2012,,,,Interior Design
Interior Design1002,SEAWIN建筑装修,新旧住宅，店铺商场，写字楼工厂。包办申请，设计图则 DA.CC.OC等。二十年在澳经验，金牌 Builder 106047C (02)96482621 (02)96482623 <br/> Fax P.0.Box398 Concord West 2138 ssseawin61@bigpond.com,,,,,(02)9648 2621,0411 330 162,,,Interior Design
Interior Design1003,室内装修设计,"专业餐厅酒吧商铺家居设计，DA,CC申报，3D图，设计新颖，新颖快捷价廉，承包装修工程，持牌水电防水，浴厨翻新，油漆、瓷砖、间隔，免费报价： Lic:110896C 0402491190 设计 0404071124 工程",,,,,,0402 491 190,,,Interior Design
Interior Design1004,建筑设计,"住宅，厂房，商铺 Westfield经验设计，测量，分地，DA,CC,CDC,<br/> edesign148@gmail.com",,,,,,0433 922 666,,,Interior Design
Interior Design1005,建筑设计Architectural design,"专业设计各种不同类型的住宅, 新建,改建,加建,扩建. 为方便用户可制作电脑三维透视图. DA, CC, Shadow diagram, First floor extension, add new granny flat at backyard<br/> Http://www.bcdarchitects.com.au",,,,bcd.designer@gmail.com,,0402 889 960,,,Interior Design
Interior Design1006,建筑图画,为Council 申请画图，提供扩建贷款， Lic:369318 。 ,,,,,（02）9519 1000,0414 616 919,,,Interior Design
Interior Design1007,全盛建筑,经验Builder 专业店铺，新建加建及装修工程，保险齐，价优质高， Lic:223590C,,,,,,0422 711 620,,,Interior Design
Interior Design1008,恒新装修四级建筑,浴室翻新，新建，加建，改建，油漆、木工、天花、间隔、Gyprock、砌砖、抹灰、防水、管道、电工、泥水等大小工程，21年建筑装修经验，工精价优，上门报价。Builder Lic: 222570C 。 （02）9802 9333,,,,,（02）9802 9333,0416 128 379,,,Interior Design
Interior Design1009,建筑设计阳桐建造,Master Builder: 68116C 。 澳洲建筑协会成员，曾姐新建房，店铺商场，工厂，写字楼及旧房加建，车房，厨房浴室翻新大小工程，专业西人设计师包办市政图纸设计，DA/CC/DC申请。<br/>www.technikhaus.com.au<br/> E: yantron168@hotmail.com,,,,yantron168@hotmail.com,,0416 167 178,,,Interior Design
Interior Design1010,持牌建筑师Licensed Architect,"房屋设计,加建,翻新, Granny Flat及商铺设计 持牌建筑师代办 Council DA, CC 申请 请浏览本公司建筑设计动画<br/> http://www.youtube.com/watch?v=UGycK9jaMXs http://www.youtube.com/watch?v=_AnnbjwBLwA <br/> Email: cornersarchitect@gmail.com <br/>website: http://www.architizer.com/en_us/firms/view/corner-s-architect/11020/ <br/>m: 0431 083 906 Warmy Lee 持牌建筑师 7830 NSW",,,,cornersarchitect@gmail.com,,0431 083 906,Warmy Lee,,Interior Design
Interior Design1011,完美建筑, 我公司具有澳洲资深高级，技术力量雄厚，为了您有一个安逸，称心，舒适的居住环境，精心为您提供如下服务项目。主要有：住宅新建，加建，改造旧房，浴室，厨房，厕所，改造翻新，图纸设计，工程估价，DA申请。保工期，保质量，免费咨询。Lic:246384C 0414673168 (国）,,,,,,0414 673 168,,,Interior Design
Interior Design1012,Architect,"设计施工一条龙优惠收费，住宅加、改建，包办DA, CC,OC， 资深注册建筑师， Lic：53526C",,,,,,0402 963 373,,,Interior Design
Interior Design1013,室内设计,"专业设计各大商场商铺餐厅，DA,CC报批，价格公道，经验负责。 （02）81880797",,,,,（02）8188 0797,0433 772 123,,,Interior Design
Interior Design1014,建筑师,"二十年经验澳注册，各类建筑新建加建改建DACC,CDC,施工监理及OC",,,,,,0414 382 397,,,Interior Design
Interior Design1015,达腾建筑,,,,,,02 9786 2370,,,,Interior Design
Interior Design1016,W.YU建筑,"专业加建，厕所翻新，房屋装修，油漆，水电 Gyprock, 一条龙服务。 Lic:2377554",,,,,,0401 086 160,Endy,,Interior Design
Interior Design1017,时尚室内设计,"澳大利亚设计学院註冊设计师，18年澳洲设计经验。精通風水﹐擅長商店, 餐馆, 厂房及展览会馆室內設計,裝修。包辦申請Council, DA,CC及設計圖等。另專業承接結婚新房, 住宅的室内设计，并提供装修，厨卫，家具及装饰品一条龙服务。信誉卓越，保证质量，价格合理。电：0412 518666 (02) 98101366","132 VICTORIA ROAD, ROZELLE, NSW 2039",,,shaker@bigpond.net.au,(02) 98101366,0412 518 666,朱先生,,Interior Design
Interior Design1018,建筑设计西人主理,"公司运作，优秀团队，20多年发展商建造经验，资深西人设计师主理，西人制西人，高成功率申请DA,CC,CDC经验，免走路，直达目标。丰富建造大楼及豪宅经验，提供看地，购地，申请，建造，销售一条龙服务或任一专业服务，小案子经验华人超低价运作。 （02）9411 3998",,,,,（02）9411 3998,0422 128 388,,,Interior Design
