#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Cabinet Installation1001,三精橱柜, 澳洲执照，工厂直销，经营定制厨房，商店，中药柜。交货迅速，物美价廉。,Sydney,,,,(02) 95338760,0488 330 038,,,Cabinet Installation
Cabinet Installation1002 Belmore,Belmore澳洲橱柜,,"642-644 Canterbury Rd.,Belmore NSW 2192",,,,,0435 033 898,,,Cabinet Installation
Cabinet Installation1003,新联橱柜,1 Kitchen Net 精英橱柜，工厂直销 ,"13/14 Sheridan Close, Milperra NSW 2214",,,,,0414 656 987,,,Cabinet Installation
Cabinet Installation1004 Kitchen Net,Kitchen Net,"二十多年澳洲厨房设计制作经验，为您量身定做，满足您任何风格尺寸要求，专业设计师技术监制。德国五金配件，西人安装，10年质量担保期。一站式服务。免费设计报价，精英团队，精英组合，成功人士的选择。我们的五星级承诺：优美设计，高档质量，合理价格，持证安装，准时出货。<br/>电：02）98989988 Mobile: 0407 956 401 
<br/>Address: Unit 4,49-51 Brodie St, Ryd","Unit 4,49-51 Brodie St, Rydalmere,NSW 2116",,,,,0407 956 401,,,Cabinet Installation
Cabinet Installation1005,专业橱柜,专业生产安装各类橱柜，衣柜，商铺货柜，品优价廉，免费亮度,"villawood,sydney",,,,,0422 279 993,,,Cabinet Installation
Cabinet Installation1006,橱柜浴室设计装修,"订制橱柜工厂直销，优质烤漆门板，多样名牌人造石台面。终身保质德国配件。免费量身设计出3D效果图报价，展厅校新张酬宾。Addrdss: 976 Victoria Rd West Ryde.
<br/> Mobile :0406782880 Phone:(02)80212422 ",Sydney,,,,(02)8021 2422 ,0406 782 880,,,Cabinet Installation
Cabinet Installation1007,J&K佳美橱柜特价地板,"专业设计各种风格橱柜，入墙柜，商店柜，德国名牌配件，澳洲板材，水电一条龙服务，承接高难度楼梯、地板。特价各种澳洲实木地板，进口实木地板，竹地板，复合板，金刚板，免费报价，七年保用。<br/>展厅：49 Karrabah Rd, Auburn, 请预约。Lic : 238789C 。 （02） 9646 4031",Sydney,,,,,0415 900 314,,,Cabinet Installation
Cabinet Installation1008 All Star Commercial Kitchen P/L,全星商業櫥櫃公司 All Star Commercial Kitchen P/L,,"4 Belmore Rd, PUNCHBOWL NSW 2196",,,,(02)9740 5733,,,,Cabinet Installation
Cabinet Installation1009,宝扬橱柜厂,专业设计，精工制造，各款新旧厨房，装修商店柜，货柜，入墙柜，承接墙砖，地砖，水管一条龙，精工。价廉，交货及时，免费设计报价。,"71 ROSEDALE AVE, GREENACRE",,,,(02) 9707 2568,0425 224 846,,,Cabinet Installation
Cabinet Installation1010,永信橱柜, 专业设计制作橱柜，墙柜，商店柜台装修，办公组合柜，旧厨房改换柜门和台面，价格合理，代客加工，持牌经验木工主理，免费估价，欢迎垂询。,"unit 11/5 Salisbury Rd, Castle Hills,2154",,,,(02) 9659 6288,0404 870 368,,,Cabinet Installation
Cabinet Installation1011,澳洲新概念钛晶版橱柜独家经销商,"澳洲新概念钛晶版橱柜独家经销商(new conception colour glass cabinet)<br/>新概念钛晶板橱柜隆重上市 ----- 抗划伤，抗击打<br/>新型橱柜面板材料彻底打破传统烤漆面板，亚克力门板，vynal,laminate等门板的色变，易划伤，难清理等多种弊端。<br/>此产品以钛合金元素制成，抗划伤，色彩丰富，质轻，款式新颖。是您用作橱柜，衣柜，推拉门，室内隔断的首选<br/>我们提供免费设计，报价及安装<br/>革新技术 物美价廉 服务至上！<br/>愿把我们的光彩带到每一个角落<br/>PHONE: 02 9737 8889<br/>mob:0421007960(gary wang)<br/>0450876188(yong huang)<br/>FAX: 02 9737 8812<br/>WEBSITE: www.nccgc.com.au<br/>ADDRESS:   unit 5/ 41-43 Day St North, Silverwater, NSW 2128
","unit 5/ 41-43 Day St North, Silverwater, NSW 2128",,,,(02) 9737 8889,0421 007 960,,,Cabinet Installation
Cabinet Installation1012,宝豪橱柜,全新设备齐全大厂，出厂优惠价，代客代做橱柜，台面，办公台等，免费报价量尺寸，欢迎参观SHOWROOM，并比对质量。,"4 Rose Cres,Regents Park",,,,(02) 9743 8688,0411225186,,,Cabinet Installation
Cabinet Installation1013  LUX KI KITCHENS,力奇廚櫃 LUX KI KITCHENS,,"UNIT 28, 62-66 LANSVALE HUME HWY, LANSVALE NSW 2166",,,,(02)9820 2986,,,,Cabinet Installation
Cabinet Installation1014 Sun,Sun橱柜办公家具 ,橱柜，办公室桌子，柜子，店铺柜，衣柜，鞋柜等，隔间，油漆，木工，瓷砖，水电气一条龙，保质守信。 Lic.251339C. Master ID: 3015556. 电： 02 8810 6743 / 0428 503 000,Sydney,,,,(02) 8810 6743,0428 503 000,,,Cabinet Installation
Cabinet Installation1015,入墙衣柜,滑动镜门，各式板门，质量保证，木窗换铝窗，防盗门，纱窗等,Sydney,,,, 02 96494852 ,0410 662 638,,,Cabinet Installation
