#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
Doors Windows SYDNEY BLINDS & SCREENS,SYDNEY BLINDS & SCREENS,,"26 STODDART RD, REDFERN NSW 2016",,,,(02)9362 8619,,,,Glass Doors and Windows
Doors Windows1 ,门窗玻璃,,Sydney,,,,(02) 9643 8589,,,,Glass Doors and Windows
Doors Windows2,龙匠门窗,,Sydney,,,,(02) 9798 8583,,,,Glass Doors and Windows
Doors Windows GPL Metal ,铁栏杆 - GPL Metal,我们专做商业，工业，家庭 建筑金属制造和安装。 balustrading，扶手，安全架，棚架，百叶窗和玻璃infills。 华人主理。最具竞争力的价格高品质的产品。www.gplfabrication.com.au,16/25 Childs Road Chipping Norton NSW 2170,,,dong1119@msn.com,(02) 97260935,,Peter,,Glass Doors and Windows
Doors Windows STEEL SAFE P/L,STEEL SAFE P/L ,,"196-200 GEORGES RIVER RD, HORNSBY NSW 2077",,,,(02)9482 4590,,,,Glass Doors and Windows
Doors Windows3,窗花纸,专业销售，安装磨砂，窗花纸，防晒膜，防爆膜，反光膜，可抵挡99%的紫外线，40%-80%的热量,,,,,,0423 293 133,,,Glass Doors and Windows
Doors Windows THE SCREEN MAN,THE SCREEN MAN,"12/7-13 VICTORIA AVE, CHATSWOOD NSW 2067",,,,, (02)9417 014,,,,Glass Doors and Windows
Doors Windows4,铁门纱窗,铁门纱窗 since 1994,Sydney,,,,(02) 9683 6508,,,,Glass Doors and Windows
Doors Windows5,唐氏玻璃,"商业，民用玻璃更换，铝合金门窗安装修理，办公室隔断，贴膜，隔音窗，玻璃贴墙，泳池，桌面，鱼缸，浴室，柜台，有执照，保险。LIC: 243775C",Sydney,,,,,0424 075 117,,,Glass Doors and Windows
Doors Windows TOLLFAB ALUMINIUM P/L,TOLLFAB ALUMINIUM P/L, ,"6-24 ANTOINE ST, SILVERWATER NSW 2128",,,,(02)9647 1412,,,,Glass Doors and Windows
Doors Windows6,门窗玻璃,定制各种尺寸铝合金防盗防蚊纱门窗，玻璃门窗，专业木贴门窗换铝门窗,,,,,,0430 881 839,,,Glass Doors and Windows
Doors Windows7,富康铁器遥控大门,,Sydney,,,,02 9645 6688,,,,Glass Doors and Windows
Doors Windows A ONE HOME IMPROVEMENT PTY LTD,A ONE HOME IMPROVEMENT PTY LTD,,,,,,,,,,Glass Doors and Windows
Doors Windows FANCY DOORS ,FANCY DOORS ,,"HORIZON TOWER, SHOP 1/208 PACIFIC HWY, MARSFIELD NSW 2122",,,,(02) 9888 3111,,,,Glass Doors and Windows
Doors Windows WESTERN SUBURBS BLINDS ,WESTERN SUBURBS BLINDS ,,"191 PARRAMATTA RD, AUBURN NSW 2144",,,,(02)9748 1886,,,,Glass Doors and Windows
Doors Windows HARDINGS SECURITY DOORS ,HARDINGS SECURITY DOORS ,,"6 SHORT RD, YENNORA NSW 2161",,,,(02)9632 9777,,,,Glass Doors and Windows
Doors Windows KEN METAL FABRICATION ,KEN METAL FABRICATION ,,"89 JEFFERY ST, CANTERBURY NSW 2193",,,,02)9718 8833,,,,Glass Doors and Windows
Doors Windows8,门窗玻璃 ,,Sydney,,,,02 9863 0856,,,,Glass Doors and Windows
Doors Windows9,优质门窗,,Sydney,,,,02 9644 7366,,,,Glass Doors and Windows
Doors Windows10,门窗铁器,,Sydney,,,,02 9791 9473,,,,Glass Doors and Windows
Doors Windows Precision Commercial Pty Ltd ,Precision Commercial Pty Ltd ,shop front----- office partition------balustrade shower screen------splash back----mirror wall 店面-----办公隔断------栏杆 淋浴屏------挡水----镜墙 我们是专业维修各类门窗玻璃，淋浴房，玻璃展柜和围栏等 www.ozglass.com.au,255 Edgar St Condell Park,,,info@ozglass.com.au,,0433 912 315,,,Glass Doors and Windows
Doors Windows11,悉尼铝制门窗,悉尼最平铝制门窗 物美价廉，用最优惠的价格提供最优质的服务！ Email: oscaraluminiumwindows@ymail.com ,,,,oscaraluminiumwindows@ymail.com ,,0433 544 961,,,Glass Doors and Windows
Doors Windows OBRIEN ALUMINIUM ,OBRIEN ALUMINIUM ,,"103 WARREN RD, ST PETERS NSW 2044",,,,(02) 9519 0844,,,,Glass Doors and Windows
Doors Windows ALCLAP ALUMINIUM PRODUCTS P/L ,ALCLAP ALUMINIUM PRODUCTS P/L ,,"P.O. BOX 292, RYDALMERE NSW 2116",,,,(02) 9638 4644,,,,Glass Doors and Windows
Doors Windows12,商业住宅装修建设需求一站式服务--KEEYUEN装修 ,"商业住宅装修建设需求一站式服务，从室内设计到空间规划，从扩展到整修，从住宅到商业，KEEYUEN都可以帮你搞定。<br/>2008年，KEEYUEN由一批经验丰富的专业技工，建筑商和室内设计员成立，通过卓越的工艺，快捷的交货和优质的客户服务令人印象深刻的客户遍布悉尼<br/>我们确保我们的项目交付时间和预算范围内。我们努力通过将加倍努力，以超越客户在各个领域的期望打动我们的客户。<br/> 除了出色的注重细节，多年的经验和卓越的文化，我们相信，我们成功的关键是良好的沟通。从概念到完成，我们的首要任务是与我们的客户紧密合作，聆听他们的需求，并保持恒定的双向沟通。<br/>加入客户日益增多的名单在悉尼和感受我们的服务的区别。<br/>电话: 0404071124  (02) 89572015     <br/>Email: info@keeyuen.com.au<br/>地址: Suite 4, 389-391 Susses Street,Haymarket, 2000 <br/>网址：http://keeyuen.com.au/index.php","Suite 4, 389-391 Susses Street, Haymarket, 2000",,,info@keeyuen.com.au,(02) 89572015  0404 071 124,0404 071 124,,,Glass Doors and Windows
