#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
floor carpet1,地板直销与安装首选Michael Flooring—质高价廉,拥有多年地板安装经验，承接各种实木地板、复合地板、竹地板、金刚板安装；<br/>楼梯地板安装。技术精湛，质量保证，价格优惠。代客选购各种地板。<br>免费估价，长期保修。 电话：0406293273 <br/>Email：michael26situ@hotmail.com,,,,michael26situ@hotmail.com,,0406 293 273,,,Floor carpet
floor carpet2,唐木地板 - T-Flooring ,"直接进口，价格便宜，物美价廉！专业安装，地板直销！ 各种不同类型地板供您选择！<br/>Laminate Flooring / Bamboo Flooring / Harwood Timber Flooring WAREHOUSE: Unit 10, 25 Hoskins Avenue, Bankstown, NSW, 2000 Contact: 0297093001 E-Mail: info@tflooring.com.au Website: www.tflooring.com.au 如有任何需要，请电话联系我们！",10/25 Hoskins Ave Bankstown ,,,,02 9709 3001,,Tom,,Floor carpet
floor carpet3,佳业地板（Hoda Pty Ltd）,"作为悉尼领先的地板直销商之一，佳业地板（Hoda Pty Ltd）在竹地板，金刚板（Laminate）和实木地板方面，一直实力雄厚。公司拥有多达30多种地板可以选择。大部分地板由生产工厂直接进口，所以工艺控制严格，质量过硬。公司提供高达7年的品质保证。<br/>公司地板进口多样化，除了澳洲本地，中国，我们还从马来西亚，印尼，南美，非洲等地进口上等地板，并保证价格实惠。因为少了批发商的环节，我们可以降低成本。顾客从我们这里，通常可以拿到市场上最好的价格。<br/>公司拥有高达16人的施工队伍，无论大项目如宾馆，酒楼，还是小工程如住屋或公寓，我们都能很快完成，并保证质量。我们的施工队伍非常专业，除了铺设地板之外，我们也能承接瓷砖，油漆，木工，窗帘等装修工程。可以说事无巨细，我们能够给顾客提供全方位周到的服务。在让您满意的情况下，更可省钱省力。<br/>公司因为库存周转迅速，经常有清仓打折的机会。如果您正在考虑装修，可以提前给我们打电话询问，只要时机得当，你一定可以用好价钱从我们这里拿到心仪的地板，瓷砖或窗帘等产品。<br/>公司展厅 1：<br/>45 Cosgrove Rd, Strathfield South NSW 2136<br/>Tel: (02) 9642 0750 / 0413 361 098<br/>公司展厅 2：<br/>Unit 9, 191 Parramatta Rd, Auburn NSW 2144<br/>Tel: (02) 9748 8540 / 0423 833 932<br/>公司展厅 3：<br/>Shop 3, 384 Forest Rd, Hurstville NSW 222","45 Cosgrove Rd, Strathfield South NSW 2136",,,, (02) 9642 0750 ,0413 361 098,,,Floor carpet
floor carpet4,邸氏地板 ,专业安装，各类地板，楼梯，8年经验，价格优惠，免费上门评估。0431803234,Sydney,,,,,0431 803 234,,,Floor carpet
HAN TONG Timber Flooring,HAN TONG Timber Flooring,多年经验，品质保证，技术熟练 0433 014 999,1B/12 Albany st Fyshwick 2609 ACT,,,, 02 6280 8858,0433 014 999,,,Floor carpet
floor carpet5,安宏地板  ,安宏地板，提供供货安装一条龙服务，品种齐全，价平质优，十多年安装经验。 ,,,,,,0430 533 333,Terry,,Floor carpet
DECOR TIMBER P/L ,DECOR TIMBER P/L ,,"69 CANTERBURY RD, BANKSTOWN NSW 2200 ",,,,(02) 9790 8294 ,,,,Floor carpet
ACTION TIMBER & HARDWARE ,ACTION TIMBER & HARDWARE ,,"167 NEW CANTERBURY RD, PETERSHAM NSW 2049 ",,,,(02) 9560 2444 ,,,,Floor carpet
floor carpet6,贯一地板  ,,Sydney,,,,02 9787 8393 ,,,,Floor carpet
AMBER ,AMBER ,,"582 PACIFIC HWY, CHATSWOOD NSW 2067",,,,(02)9419 6177,,,,Floor carpet
